Name,Mobile Number,Player Role,Photo URL,Stats URL
Virat Kohli,9876543210,Batsman,https://example.com/virat.jpg,https://crichero.com/virat
MS Dhoni,9876543211,Wicket Keeper,https://example.com/dhoni.jpg,https://crichero.com/dhoni
Jasprit Bumrah,9876543212,Bowler,https://example.com/bumrah.jpg,https://crichero.com/bumrah
Rohit Sharma,9876543213,Batsman,https://example.com/rohit.jpg,https://crichero.com/rohit
Ravindra Jadeja,9876543214,All Rounder,https://example.com/jadeja.jpg,https://crichero.com/jadeja
KL Rahul,9876543215,Batsman,https://example.com/rahul.jpg,https://crichero.com/rahul
Hardik Pandya,9876543216,All Rounder,https://example.com/hardik.jpg,https://crichero.com/hardik
Rishabh Pant,9876543217,Wicket Keeper,https://example.com/pant.jpg,https://crichero.com/pant
Yuzvendra Chahal,9876543218,Bowler,https://example.com/chahal.jpg,https://crichero.com/chahal
Shikhar Dhawan,9876543219,Batsman,https://example.com/dhawan.jpg,https://crichero.com/dhawan

